Condition,Model,Run,Generated_AS,TP,FN,FP,Precision,Recall,Exact_Title_Hits,Exact_Title_AS,Leakage_Risk
blind_prior,DeepSeek-V4-Pro,run_01.md,3,1,5,2,0.3333,0.1667,0,,LOW
blind_prior,DeepSeek-V4-Pro,run_02.md,1,0,6,1,0.0000,0.0000,0,,LOW
blind_prior,DeepSeek-V4-Pro,run_03.md,1,0,6,1,0.0000,0.0000,0,,LOW
blind_prior,Llama-3.3-70B,run_01.md,3,0,6,3,0.0000,0.0000,0,,LOW
blind_prior,Llama-3.3-70B,run_02.md,3,0,6,3,0.0000,0.0000,0,,LOW
blind_prior,Llama-3.3-70B,run_03.md,3,0,6,3,0.0000,0.0000,0,,LOW
blind_prior,Qwen2.5-7B,run_01.md,4,0,6,4,0.0000,0.0000,0,,LOW
blind_prior,Qwen2.5-7B,run_02.md,5,0,6,5,0.0000,0.0000,0,,LOW
blind_prior,Qwen2.5-7B,run_03.md,5,0,6,5,0.0000,0.0000,0,,LOW
domain_baseline,DeepSeek-V4-Pro,run_01.md,3,1,5,2,0.3333,0.1667,0,,LOW
domain_baseline,DeepSeek-V4-Pro,run_02.md,3,1,5,2,0.3333,0.1667,0,,LOW
domain_baseline,DeepSeek-V4-Pro,run_03.md,3,1,5,2,0.3333,0.1667,0,,LOW
domain_baseline,Llama-3.3-70B,run_01.md,3,0,6,3,0.0000,0.0000,0,,LOW
domain_baseline,Llama-3.3-70B,run_02.md,3,0,6,3,0.0000,0.0000,0,,LOW
domain_baseline,Llama-3.3-70B,run_03.md,3,0,6,3,0.0000,0.0000,0,,LOW
domain_baseline,Qwen2.5-7B,run_01.md,5,0,6,5,0.0000,0.0000,0,,LOW
domain_baseline,Qwen2.5-7B,run_02.md,5,0,6,5,0.0000,0.0000,0,,LOW
domain_baseline,Qwen2.5-7B,run_03.md,5,0,6,5,0.0000,0.0000,0,,LOW
weak_case_description,DeepSeek-V4-Pro,run_01.md,2,0,6,2,0.0000,0.0000,0,,LOW
weak_case_description,DeepSeek-V4-Pro,run_02.md,3,1,5,2,0.3333,0.1667,0,,LOW
weak_case_description,DeepSeek-V4-Pro,run_03.md,11,0,6,11,0.0000,0.0000,0,,LOW
weak_case_description,Llama-3.3-70B,run_01.md,3,0,6,3,0.0000,0.0000,0,,LOW
weak_case_description,Llama-3.3-70B,run_02.md,3,0,6,3,0.0000,0.0000,0,,LOW
weak_case_description,Llama-3.3-70B,run_03.md,3,0,6,3,0.0000,0.0000,0,,LOW
weak_case_description,Qwen2.5-7B,run_01.md,5,0,6,5,0.0000,0.0000,0,,LOW
weak_case_description,Qwen2.5-7B,run_02.md,4,1,5,3,0.2500,0.1667,0,,LOW
weak_case_description,Qwen2.5-7B,run_03.md,4,0,6,4,0.0000,0.0000,0,,LOW
odd_only,DeepSeek-V4-Pro,run_01.md,4,3,3,1,0.7500,0.5000,0,,N/A
odd_only,DeepSeek-V4-Pro,run_02.md,7,2,4,5,0.2857,0.3333,0,,N/A
odd_only,DeepSeek-V4-Pro,run_03.md,7,2,4,5,0.2857,0.3333,0,,N/A
odd_only,Llama-3.3-70B,run_01.md,6,2,4,4,0.3333,0.3333,0,,N/A
odd_only,Llama-3.3-70B,run_02.md,5,2,4,3,0.4000,0.3333,0,,N/A
odd_only,Llama-3.3-70B,run_03.md,5,2,4,3,0.4000,0.3333,0,,N/A
odd_only,Qwen2.5-7B,run_01.md,9,3,3,6,0.3333,0.5000,0,,N/A
odd_only,Qwen2.5-7B,run_02.md,6,2,4,4,0.3333,0.3333,0,,N/A
odd_only,Qwen2.5-7B,run_03.md,9,1,5,8,0.1111,0.1667,0,,N/A
odd_game,DeepSeek-V4-Pro,run_01.md,9,3,3,6,0.3333,0.5000,0,,N/A
odd_game,DeepSeek-V4-Pro,run_02.md,7,4,2,3,0.5714,0.6667,0,,N/A
odd_game,DeepSeek-V4-Pro,run_03.md,6,4,2,2,0.6667,0.6667,0,,N/A
odd_game,Llama-3.3-70B,run_01.md,8,4,2,4,0.5000,0.6667,0,,N/A
odd_game,Llama-3.3-70B,run_02.md,6,4,2,2,0.6667,0.6667,0,,N/A
odd_game,Llama-3.3-70B,run_03.md,8,3,3,5,0.3750,0.5000,0,,N/A
odd_game,Qwen2.5-7B,run_01.md,9,4,2,5,0.4444,0.6667,0,,N/A
odd_game,Qwen2.5-7B,run_02.md,7,3,3,4,0.4286,0.5000,0,,N/A
odd_game,Qwen2.5-7B,run_03.md,10,4,2,6,0.4000,0.6667,0,,N/A
scenario_positive_control,DeepSeek-V4-Pro,run_01.md,6,6,0,0,1.0000,1.0000,6,AS1;AS2;AS3;AS4;AS5;AS6,N/A
scenario_positive_control,DeepSeek-V4-Pro,run_02.md,6,5,1,1,0.8333,0.8333,6,AS1;AS2;AS3;AS4;AS5;AS6,N/A
scenario_positive_control,DeepSeek-V4-Pro,run_03.md,6,5,1,1,0.8333,0.8333,6,AS1;AS2;AS3;AS4;AS5;AS6,N/A
scenario_positive_control,Llama-3.3-70B,run_01.md,6,5,1,1,0.8333,0.8333,6,AS1;AS2;AS3;AS4;AS5;AS6,N/A
scenario_positive_control,Llama-3.3-70B,run_02.md,6,5,1,1,0.8333,0.8333,6,AS1;AS2;AS3;AS4;AS5;AS6,N/A
scenario_positive_control,Llama-3.3-70B,run_03.md,6,5,1,1,0.8333,0.8333,6,AS1;AS2;AS3;AS4;AS5;AS6,N/A
scenario_positive_control,Qwen2.5-7B,run_01.md,6,5,1,1,0.8333,0.8333,6,AS1;AS2;AS3;AS4;AS5;AS6,N/A
scenario_positive_control,Qwen2.5-7B,run_02.md,6,5,1,1,0.8333,0.8333,6,AS1;AS2;AS3;AS4;AS5;AS6,N/A
scenario_positive_control,Qwen2.5-7B,run_03.md,6,5,1,1,0.8333,0.8333,6,AS1;AS2;AS3;AS4;AS5;AS6,N/A
